Nom,Blues,Classical,Country,Disco,HipHop,Jazz,Metal,Pop,Reggae,Rock,ChoixMax
./Data/genres_original/hiphop\hiphop.00000.wav,0.99907756,0.0008307062,2.5650036e-07,8.7271204e-08,8.35751e-06,1.1005097e-05,6.0842114e-05,1.0249088e-05,2.559636e-08,9.93143e-07,Blues
./Data/genres_original/hiphop\hiphop.00001.wav,0.8467176,0.12024238,0.00034453042,3.586305e-05,0.002995767,0.014252362,9.518802e-05,0.0014249575,0.01383484,5.654476e-05,Blues
./Data/genres_original/hiphop\hiphop.00002.wav,0.99413,0.00025641354,1.24406915e-05,1.0317928e-05,0.00048169747,2.3221317e-05,0.005029187,2.1052365e-05,5.416988e-07,3.5056684e-05,Blues
./Data/genres_original/hiphop\hiphop.00003.wav,0.0014350368,0.90687656,1.5207198e-05,6.3642284e-07,0.0012537244,0.08280757,0.0068492508,1.0609232e-05,0.0005698074,0.0001815841,Classical
./Data/genres_original/hiphop\hiphop.00004.wav,0.9848534,0.010278878,1.2678447e-05,1.9116995e-05,0.0012520893,0.00288454,0.00027681698,0.00028454495,0.00012739358,1.0526472e-05,Blues
./Data/genres_original/hiphop\hiphop.00005.wav,0.9676426,6.4117514e-05,0.000113776754,1.27787225e-05,0.027784724,0.0021710861,0.0012091709,0.00030551644,0.0006885976,7.493177e-06,Blues
./Data/genres_original/hiphop\hiphop.00006.wav,0.14036584,0.00050427753,0.0059364485,0.00051334105,0.70827115,0.0011307884,0.10895989,0.0035235565,0.00043760234,0.03035712,HipHop
./Data/genres_original/hiphop\hiphop.00007.wav,0.004990828,0.00019858057,9.6115065e-05,3.70605e-05,0.9578164,0.0018142493,0.032716464,2.0888365e-05,0.00082897226,0.0014804655,HipHop
./Data/genres_original/hiphop\hiphop.00008.wav,1.6233222e-05,0.873003,0.0010629776,1.5458636e-05,0.0043681194,0.11746365,2.889216e-05,1.0576485e-05,0.002053108,0.0019779403,Classical
./Data/genres_original/hiphop\hiphop.00009.wav,0.8117509,0.036895245,0.00015428274,0.0005047046,0.021150596,0.07652252,0.0001396986,0.0076542324,0.045040317,0.00018744763,Blues
./Data/genres_original/hiphop\hiphop.00010.wav,0.96111137,0.03849332,1.5070345e-06,8.8013564e-08,4.774595e-05,0.0001433545,4.880197e-05,0.00014528146,3.8388207e-06,4.5603956e-06,Blues
./Data/genres_original/hiphop\hiphop.00011.wav,0.9485603,0.049953323,1.6840164e-06,4.6164456e-07,1.3472858e-05,0.0009618499,0.00044211626,6.0338672e-05,3.7384243e-06,2.6788753e-06,Blues
