Nom,Blues,Classical,Country,Disco,HipHop,Jazz,Metal,Pop,Reggae,Rock,ChoixMax
./Data/genres_original/rock\rock.00000.wav,0.6132285,0.2505016,0.00020017238,3.8379905e-05,0.0023277502,0.13197614,0.00047979777,0.00040252018,0.0007926414,5.2502553e-05,Blues
./Data/genres_original/rock\rock.00001.wav,0.0035415879,0.77269614,6.4747533e-06,3.3448757e-07,4.1254847e-05,0.2235754,9.1159054e-05,6.826423e-07,4.495797e-05,2.0117411e-06,Classical
./Data/genres_original/rock\rock.00002.wav,0.7696411,0.18370022,1.9920737e-05,5.1199195e-06,0.00033375726,0.045576606,0.00038602485,8.125479e-05,0.00024889092,6.9669695e-06,Blues
./Data/genres_original/rock\rock.00003.wav,0.036025796,0.6845843,0.0010267795,0.0004170105,0.010379797,0.12724923,0.11594685,0.0020245444,0.002728239,0.01961742,Classical
./Data/genres_original/rock\rock.00004.wav,0.051807627,0.64939415,4.86975e-06,2.1233225e-07,5.333575e-05,0.29856437,5.7482514e-05,8.4814565e-07,0.000116653406,4.407912e-07,Classical
./Data/genres_original/rock\rock.00005.wav,0.5791362,0.05210654,0.0003697622,0.00021863458,0.027089797,0.31864515,0.0029126198,0.00067119073,0.018760052,9.011635e-05,Blues
./Data/genres_original/rock\rock.00006.wav,0.8596794,0.009310117,0.002155532,3.2480006e-05,0.040615276,0.08612085,0.000781147,5.6070076e-05,0.0012146904,3.438883e-05,Blues
./Data/genres_original/rock\rock.00007.wav,0.00025971569,0.9965586,9.129985e-08,6.1023053e-09,3.1540762e-07,0.0031669852,8.805126e-06,1.4804109e-08,5.091018e-06,3.9986247e-07,Classical
./Data/genres_original/rock\rock.00008.wav,0.013837777,0.5335585,1.4272902e-05,6.345397e-05,0.0006865288,0.39743513,0.044189956,3.0003876e-05,0.009805863,0.0003785086,Classical
./Data/genres_original/rock\rock.00009.wav,8.095697e-05,0.9995431,2.8134862e-08,2.7348857e-10,8.6860894e-08,0.00037420966,8.514125e-07,1.7396637e-09,6.16344e-07,8.193731e-08,Classical
./Data/genres_original/rock\rock.00010.wav,0.18084913,0.7668677,1.7799888e-05,9.191956e-07,1.0317417e-05,0.05210977,6.935066e-05,5.9359503e-05,1.0782441e-05,4.8644733e-06,Classical
./Data/genres_original/rock\rock.00011.wav,0.0027174186,0.97330564,3.1609488e-07,2.4052168e-08,1.8741864e-07,0.023964435,5.4895954e-06,5.2310014e-07,5.7302186e-06,1.4156305e-07,Classical
./Data/genres_original/rock\rock.00012.wav,0.00075042824,0.8625532,0.00043774073,0.000102824844,0.003855689,0.11954497,0.0070487033,1.1353773e-05,0.00033594578,0.0053592958,Classical
./Data/genres_original/rock\rock.00013.wav,0.13783948,0.46426195,0.0010900461,0.0006540796,0.14204866,0.066756114,0.174269,0.00010234086,0.0011555186,0.01182269,Classical
./Data/genres_original/rock\rock.00014.wav,5.226838e-05,0.98170865,1.1462651e-05,9.807175e-07,0.00045591514,0.016407719,0.00070265686,1.5637879e-07,0.0004962814,0.00016395494,Classical
./Data/genres_original/rock\rock.00015.wav,2.401298e-07,0.9982583,1.3320621e-07,9.625237e-09,1.4537909e-05,0.0016605086,1.040717e-05,8.233308e-09,2.9054932e-05,2.6745962e-05,Classical
./Data/genres_original/rock\rock.00016.wav,0.107144974,0.4260844,0.0005521381,8.518426e-05,0.02145888,0.4339615,0.0046266145,0.0003302074,0.0052125244,0.0005435313,Jazz
./Data/genres_original/rock\rock.00017.wav,0.99427783,0.0014968278,2.4059493e-06,5.8819887e-06,0.0002782801,0.0036282854,2.9797711e-05,6.681685e-05,0.0002135834,2.3662673e-07,Blues
./Data/genres_original/rock\rock.00018.wav,0.9284976,0.062721916,5.720798e-05,2.2558464e-05,0.00035903798,0.007102115,0.0009757738,0.00018929536,4.936539e-05,2.5135876e-05,Blues
./Data/genres_original/rock\rock.00019.wav,0.00015532412,0.9970204,2.5460082e-07,5.9235457e-08,1.3066404e-05,0.0024113886,0.00034901063,2.1158279e-07,7.94842e-06,4.2324496e-05,Classical
./Data/genres_original/rock\rock.00020.wav,0.8278885,0.026286885,0.0009705019,0.00012359476,0.005679235,0.13570543,0.00020835969,0.0004244486,0.0026848908,2.8130891e-05,Blues
